date,location,type,class
4/9/2023, Santa Catalina  ,ISELCOII,Public
4/9/2023, San Rodrigo  ,ISELCOII,Public
4/9/2023, San Pablo  ,ISELCOII,Public
4/9/2023, San Lorenzo  ,ISELCOII,Public
4/9/2023, San Juan  ,ISELCOII,Public
4/9/2023, San Isidro  ,ISELCOII,Public
4/9/2023, Manaring  ,ISELCOII,Public
4/9/2023, Fuyo  ,ISELCOII,Public
4/9/2023, Capo  ,ISELCOII,Public
4/9/2023, Capellan  ,ISELCOII,Public
4/9/2023, Cadu  ,ISELCOII,Public
4/9/2023, Villa Imelda  ,ISELCOII,Public
4/9/2023, Sindun Maride  ,ISELCOII,Public
4/9/2023, Sindun Bayabo  ,ISELCOII,Public
4/9/2023, San Andress  ,ISELCOII,Public
4/9/2023, Rugao  ,ISELCOII,Public
4/9/2023, Rangayan  ,ISELCOII,Public
4/9/2023, Quimalabasa  ,ISELCOII,Public
4/9/2023, Pasa  ,ISELCOII,Public
4/9/2023, Cabisera 27  ,ISELCOII,Public
4/9/2023, Cabisera 25  ,ISELCOII,Public
4/9/2023, Cabisera 14-16  ,ISELCOII,Public
4/9/2023, Cabisera 10  ,ISELCOII,Public
4/9/2023, Binatacan  ,ISELCOII,Public
4/9/2023, Tangkul  ,ISELCOII,Public
4/9/2023, Sta. Victoria  ,ISELCOII,Public
4/9/2023, Nanaguan  ,ISELCOII,Public
4/9/2023, Morado  ,ISELCOII,Public
4/9/2023, Minabang  ,ISELCOII,Public
4/9/2023, Marana 3rd  ,ISELCOII,Public
4/9/2023, Marana 2nd  ,ISELCOII,Public
4/9/2023, Marana 1st  ,ISELCOII,Public
4/9/2023, Bangag ,ISELCOII,Public
4/9/2023, Ballacong  ,ISELCOII,Public
4/9/2023, Alinguigan 3rd  ,ISELCOII,Public
4/9/2023, Alinguigan 2nd  ,ISELCOII,Public
4/9/2023, Alinguigan 1st  ,ISELCOII,Public
4/9/2023, Pilitan   Parts of City of Ilagan ,ISELCOII,Public
4/9/2023, Liwanag  ,ISELCOII,Public
4/9/2023, Sisim Abajo  ,ISELCOII,Public
4/9/2023, Sisim Alto   ,ISELCOII,Public
4/9/2023, Paragu  ,ISELCOII,Public
4/9/2023, Minanga  ,ISELCOII,Public
4/9/2023, Maligaya  ,ISELCOII,Public
4/9/2023, Bantug  ,ISELCOII,Public
4/9/2023, Lapogan  ,ISELCOII,Public
4/9/2023, Lalauanan  ,ISELCOII,Public
4/9/2023, Bayabo East  ,ISELCOII,Public
4/9/2023, Balug  ,ISELCOII,Public
4/9/2023, Arcon  ,ISELCOII,Public
4/9/2023,Municipality of Delfin Albano Parts of Municipality of Tumauini ,ISELCOII,Public
4/12/2023, Paliueg,ISELCOII,Public
4/12/2023, Malalam ,ISELCOII,Public
4/12/2023, Cabisera 9 and 11 ( Capugotan ) ,ISELCOII,Public
4/12/2023, Santa Maria ( Cabisera 8 ) ,ISELCOII,Public
4/12/2023, San Felipe ,ISELCOII,Public
4/12/2023, Cabisera 7 ( Nangalisan ) ,ISELCOII,Public
4/12/2023, Cabisera 6 & 24 ( Villa Marcos) ,ISELCOII,Public
4/12/2023, Cabisera 5 ( baribad ) ,ISELCOII,Public
4/12/2023, Cabisera 4 ( San Mauel) ,ISELCOII,Public
4/12/2023, Cabisera 3 (san Fernando ) ,ISELCOII,Public
4/12/2023, Cabisera 23 ( San Francisco ) ,ISELCOII,Public
4/12/2023, Cabisera 22 (Sablang) ,ISELCOII,Public
4/12/2023, Cabisera 2 (Dappat) ,ISELCOII,Public
4/12/2023, Cabisera 19 ( Villa Suerte ) ,ISELCOII,Public
4/12/2023, Cabisera 17 and 21 ( San Rafael ) ,ISELCOII,Public
4/12/2023, Imelda Bliss Village ,ISELCOII,Public
4/12/2023, Fugo  ,ISELCOII,Public
4/12/2023, Aggasian ,ISELCOII,Public
4/12/2023, Portion of Baligatan  ,ISELCOII,Public
4/12/2023,Parts of City of Ilagan ,ISELCOII,Public
